Time,PlayerSpeed,MonsterSpeed,DistanceToPlayer
28.52,5.92,0.00,8.24
28.52,5.92,0.00,8.23
28.52,5.93,0.00,8.23
28.52,5.93,0.00,8.22
28.53,5.94,0.00,8.21
28.53,5.97,0.00,8.20
28.53,4.35,0.00,8.20
28.53,29.05,0.00,8.16
28.53,6.23,0.00,8.15
28.54,6.23,0.00,8.14
28.54,6.23,0.00,8.13
28.54,6.23,0.00,8.13
28.54,6.22,0.00,8.12
28.55,6.22,0.00,8.11
28.55,6.22,0.00,8.10
28.55,6.21,0.00,8.09
28.55,6.21,0.00,8.09
28.55,6.21,0.00,8.08
28.56,6.21,0.00,8.07
28.56,6.20,0.00,8.06
28.56,6.20,0.00,8.05
28.56,6.20,0.00,8.04
28.57,6.20,0.00,8.04
28.57,6.19,0.00,8.03
28.57,6.19,0.00,8.02
28.57,6.19,0.00,8.01
28.58,6.18,0.00,7.99
28.58,6.18,0.00,7.98
28.58,6.18,0.00,7.97
28.59,6.09,0.00,7.97
28.59,6.19,0.00,7.96
28.59,6.19,0.00,7.95
28.59,6.18,0.00,7.94
28.59,6.17,0.00,7.93
28.60,6.17,0.00,7.92
28.60,6.16,0.00,7.92
28.60,6.16,0.00,7.91
28.60,6.15,0.00,7.90
28.61,6.15,0.00,7.89
28.61,6.14,0.00,7.88
28.61,6.14,0.00,7.87
28.61,6.13,0.00,7.86
28.61,6.13,0.00,7.85
28.62,6.13,0.00,7.85
28.62,6.12,0.00,7.84
28.62,6.12,0.00,7.83
28.62,6.12,0.00,7.82
28.63,6.11,0.00,7.81
28.63,6.11,0.00,7.80
28.63,6.11,0.00,7.79
28.63,6.41,0.00,7.78
28.63,6.29,0.00,7.77
28.64,6.30,0.00,7.76
28.64,6.30,0.00,7.75
28.64,6.30,0.00,7.74
28.64,6.30,0.00,7.73
28.65,6.30,0.00,7.72
28.65,6.30,0.00,7.71
28.65,6.31,0.00,7.70
28.65,6.31,0.00,7.69
28.65,6.31,0.00,7.68
28.66,6.31,0.00,7.67
28.66,6.31,0.00,7.66
28.66,6.31,0.00,7.65
28.66,6.32,0.00,7.64
28.67,6.32,0.00,7.63
28.67,6.26,0.00,7.62
28.67,6.37,0.00,7.61
28.67,6.32,0.00,7.60
28.67,6.28,0.00,7.59
28.68,6.24,0.00,7.58
28.68,6.21,0.00,7.57
28.68,6.18,0.00,7.56
28.68,6.14,0.00,7.55
28.69,6.14,0.00,7.54
28.69,6.14,0.00,7.53
28.69,6.14,0.00,7.52
28.69,6.14,0.00,7.50
28.70,6.14,0.00,7.49
28.70,6.14,0.00,7.48
28.70,6.14,0.00,7.47
28.70,6.14,0.00,7.46
28.71,6.14,0.00,7.45
28.71,6.14,0.00,7.43
28.71,6.14,0.00,7.42
28.71,6.14,0.00,7.41
28.72,6.14,0.00,7.40
28.72,6.14,0.00,7.39
28.72,6.14,0.00,7.38
28.72,6.14,0.00,7.36
28.73,6.14,0.00,7.35
28.73,6.14,0.00,7.34
28.73,6.14,0.00,7.33
28.73,6.14,0.00,7.32
28.74,6.14,0.00,7.31
28.74,6.14,0.00,7.30
28.74,6.14,0.00,7.28
28.75,6.10,0.00,7.26
28.75,6.16,0.00,7.25
28.75,6.15,0.00,7.25
28.75,6.14,0.00,7.23
28.76,6.13,0.00,7.23
28.76,6.12,0.00,7.22
28.76,6.11,0.00,7.21
28.76,6.10,0.00,7.20
28.77,6.10,0.00,7.19
28.77,6.09,0.00,7.18
28.77,6.08,0.00,7.17
28.77,6.08,0.00,7.16
28.78,6.07,0.00,7.15
28.78,6.07,0.00,7.14
28.78,6.06,0.00,7.13
28.78,6.06,0.00,7.12
28.79,6.05,0.00,7.12
28.79,6.05,0.00,7.11
28.79,6.05,0.00,7.10
28.79,6.04,0.00,7.09
28.80,6.04,0.00,7.08
28.80,6.04,0.00,7.08
28.80,6.04,0.00,7.07
28.80,6.04,0.00,7.06
28.81,6.04,0.00,7.05
28.81,6.04,0.00,7.04
28.81,6.04,0.00,7.04
28.81,6.04,0.00,7.03
28.82,6.04,0.00,7.02
28.82,6.04,0.00,7.02
28.82,6.04,0.00,7.01
28.82,6.04,0.00,7.00
28.83,6.04,0.00,6.99
28.83,6.04,0.00,6.99
28.83,6.04,0.00,6.98
28.83,6.04,0.00,6.97
28.84,6.04,0.00,6.97
28.84,6.04,0.00,6.96
28.84,6.04,0.00,6.96
28.84,6.04,0.00,6.95
28.84,6.04,0.00,6.94
28.85,6.04,0.00,6.94
28.85,6.04,0.00,6.93
28.85,6.04,0.00,6.92
28.85,6.04,0.00,6.92
28.86,6.04,0.00,6.91
28.86,6.04,0.00,6.91
28.86,6.03,0.00,6.90
28.86,6.02,0.00,6.89
28.87,6.01,0.00,6.89
28.87,6.00,0.00,6.88
28.87,6.00,0.00,6.88
28.87,6.00,0.00,6.87
28.88,6.00,0.00,6.87
28.88,6.01,0.00,6.87
28.88,6.00,0.00,6.86
28.88,6.01,0.00,6.86
28.89,6.03,0.00,6.85
28.89,6.07,0.00,6.85
28.89,6.11,0.00,6.85
28.89,6.17,0.00,6.84
28.90,6.22,0.00,6.84
28.90,6.00,0.00,6.83
28.90,6.01,0.00,6.83
28.91,6.05,0.00,6.83
28.91,6.10,0.00,6.82
28.91,6.15,0.00,6.82
28.91,6.22,0.00,6.82
28.91,6.30,0.00,6.82
